issn;instances;id;count
0001-4273;631;313757;83696
0001-8392;218;281152;7834
0002-8282;1627;4903568;109651
0012-9682;351;1415682;9775
0013-0133;229;2942376;10318
0014-2921;913;109733045;24012
0021-8456;88;1848871;9713
0022-0531;385;22695787;9765
0022-1082;219;3244366;28916
0022-2429;362;2859700;45990
0022-2437;411;8420455;34767
0022-3808;298;1938133;16341
0025-1909;852;7159593;42158
0143-2095;224;2103536;34342
0148-2963;2827;459727190;220571
0162-1459;427;10430829;8365
0165-4101;324;4883296;32080
0167-6296;304;18476423;13778
0304-3932;580;11941256;18958
0304-405X;1006;5302197;101080
0304-4076;599;9885856;16776
0363-7425;338;315520;40256
0734-306X;219;1287501;10470
0899-8256;585;77609545;7378
1047-7047;75;3849467;1336
1467-937X;206;1998430;10498
1531-4650;181;1402702;23561
1542-4766;173;4716287;8996
1941-6520;89;5034;9816
